,price,accommodates,review_scores_location,host_is_superhost_t,host_has_profile_pic_t,host_identity_verified_t,instant_bookable_t,bathroom_type_shared,bathrooms,host_response_rate,distance_from_city_center_km
427,2500.0,2,4.94,1,1,1,0,0,1.0,1.0,1.7944487010682264
429,2718.0,4,4.96,1,1,1,0,0,1.0,1.0,1.3658965284650009
430,2800.0,2,4.89,1,1,1,0,0,1.0,1.0,2.835489110312446
431,3289.0,2,4.96,0,1,1,1,0,1.0,1.0,2.2197940635945335
432,2400.0,2,4.99,1,1,1,1,0,1.0,1.0,2.696953820744952
433,2673.0,4,5.0,0,1,1,1,0,1.0,1.0,2.1862352931430085
435,1200.0,4,4.51,0,1,1,0,0,1.5,1.0,6.569702583733695
436,3117.0,4,4.76,1,1,1,1,0,1.0,1.0,2.9269495594581336
437,2800.0,4,4.63,1,1,1,0,0,1.0,1.0,1.2168088487011706
441,1541.0,2,4.5,1,1,1,0,0,1.0,1.0,1.1166513240921518
442,809.0,2,4.71,0,1,1,0,1,1.5,1.0,1.6316987017126554
443,3546.0,2,4.99,1,1,1,0,0,1.0,0.99,1.8391368820888903
444,750.0,2,4.5,1,1,1,1,0,1.0,1.0,4.947352025414055
446,1881.0,3,4.75,0,1,1,1,0,1.0,0.98,0.769895358527574
449,1069.0,2,4.85,1,1,1,1,1,1.5,1.0,1.377245687214545
451,3500.0,2,4.72,1,1,1,1,0,1.0,1.0,3.0809009258868896
452,2494.0,2,4.96,1,1,1,0,0,1.0,1.0,1.2963765585952862
453,2450.0,2,4.95,0,1,1,1,0,1.0,1.0,1.3459684001299945
454,2280.0,3,4.95,0,1,1,1,0,1.0,1.0,1.5814774969686654
455,4986.0,5,4.77,1,1,1,0,0,1.0,1.0,3.1302348940838916
456,2593.0,3,4.96,1,1,1,0,0,1.0,1.0,0.18849960242225855
458,5171.0,2,4.98,1,1,1,0,0,1.5,1.0,2.5274783247061516
459,3293.0,6,4.5,0,1,1,0,0,1.0,0.23,0.6043174767320924
460,1667.0,4,4.82,0,1,1,0,0,1.0,1.0,1.6152923869686677
461,3857.0,4,4.79,1,1,1,1,0,1.0,1.0,3.080156769849488
463,1271.0,4,4.58,1,1,1,0,0,1.0,1.0,1.616918807642434
465,3331.0,2,4.92,0,1,1,0,0,1.0,1.0,2.192945988852496
466,2343.0,6,4.66,0,1,1,1,0,1.0,1.0,1.4857164342793172
467,959.0,1,4.89,1,1,1,0,0,1.0,1.0,2.103989983053498
468,2042.0,2,4.98,0,1,1,0,0,1.0,0.9,1.9534349163770601
469,1681.0,2,4.45,1,1,1,0,0,1.0,1.0,1.592107154292072
471,2907.0,6,4.86,1,1,1,1,0,1.0,1.0,0.3073831602005165
476,1829.0,4,4.78,1,1,1,0,0,1.0,1.0,8.268274813030832
477,3090.0,4,4.76,1,1,1,0,0,1.5,1.0,2.8780639824201377
478,2127.0,4,4.98,1,1,1,1,0,1.0,1.0,2.0074675052434903
480,4082.0,6,4.82,0,1,1,0,0,1.5,1.0,1.695038729340542
481,2550.0,5,4.5,0,1,1,1,0,1.0,1.0,2.6969474151199138
483,1937.0,2,4.5,0,1,1,0,0,1.0,0.8,3.809806739852502
484,1384.0,4,4.77,1,1,1,0,0,1.0,1.0,1.6526850844349852
486,2154.0,2,4.8,1,1,1,0,0,1.0,1.0,11.100726381892406
487,2529.0,2,4.7,1,1,1,0,0,1.0,1.0,2.3144174193722495
488,4414.0,7,4.73,0,1,1,0,0,1.0,1.0,6.718718801322261
489,3188.0,4,4.65,0,1,1,0,0,1.0,1.0,6.754722924878762
490,2579.0,4,4.97,1,1,1,0,0,1.0,1.0,1.7480912664894397
492,1790.0,2,4.83,0,1,1,1,0,1.0,0.98,1.294213448179713
493,2673.0,3,4.95,1,1,1,0,1,1.0,1.0,1.910151503870989
494,2627.0,4,4.84,1,1,1,1,0,1.0,1.0,0.5361779954488182
495,883.0,1,4.87,0,1,1,0,1,1.0,1.0,1.6650843763022842
496,1787.0,4,4.96,0,1,1,0,0,1.0,1.0,2.0533414339963185
497,1150.0,2,4.74,1,1,1,1,0,1.0,1.0,1.606016208961321
498,2406.0,4,5.0,1,1,1,1,0,1.0,1.0,1.503017791659134
499,2477.0,2,4.63,0,1,1,0,0,1.0,0.8,3.8336240570548177
500,1349.0,6,4.8,1,1,1,1,0,1.0,1.0,1.3343162551843828
501,3923.0,6,4.9,0,1,1,0,0,2.0,1.0,2.1904512483700422
